Country code,GDP 60,GDP 65,GDP 70,GDP 75,GDP 80,GDP 85,Worker 60,Worker 65,Worker 70,Worker 75,Worker 80,Worker 85,Life expectation 60,Life expectation 65,Life expectation 70,Life expectation 75,Life expectation 80,Life expectation 85,Expenses on education 60-65,Expenses on education 65-70,Expenses on education 70-75,Expenses on education 75-80,Expenses on education 80-85,Expenses on defense 60-65,Expenses on defense 65-70,Expenses on defense 70-75,Expenses on defense 75-80,Expenses on defense 80-85,Average school years 60,Average school years 65,Average school years 70,Average school years 75,Average school years 80,Average school years 85,Political Instability 60-65,Political Instability 65-70,Political Instability 70-75,Political Instability 75-80,Political Instability 80-85,Civil Liberties 70-75,Civil Liberties 75-80,Civil Liberties 80-85,Civil Liberties 85-90,Political rights 70-75,Political rights 75-80,Political rights 80-85,Political rights 85-90,Population 60,Population 65,Population 70,Population 75,Population 80,Population 85,Export 60-65,Export 65-70,Export 70-75,Export 75-80,Export 80-85,Import 60-65,Import 65-70,Import 70-75,Import 75-80,Import 80-85
1,1302,1244,1551,1573,1998,2142,0.2644,0.2432,0.2142,0.2156,0.217,0.2226,47.3,50.2,52.7,55,58.4,61.5,0.0448,0.0481,0.0567,0.062,0.0594,0.03,0.029,0.02,0.021,0.019,0.85,0.627,0.799,1.11,1.868,2.394,    ,0.1665,0,0,0,6,6,6,5.4,6,6,6,5.6,10800,11923,13746,16018,18740,21788,0.2546,0.1903,0.1905,0.2742,0.2614,0.309,0.1832,0.2257,0.3475,0.2371
2,880,1008,1146,729,694,609,0.4816,0.4591,0.438,0.4454,0.4503,0.4321,    ,    ,    ,    ,    ,    ,     ,     ,     ,     ,      ,     ,     ,     ,0.14,0.151,    ,    ,    ,    ,    ,    ,    ,     ,    ,0.4,1,6.333333,6.6,6.8,7,4.666667,7,7,7,4816,5180,5588,6520,7723,8754,    ,     ,    ,     ,     ,    ,     ,     ,     ,
3,595,633,571,589,534,525,0.6136,0.5796,0.5464,0.53,0.5125,0.4857,38.9,41.9,44,45.3,47.1,49.4,0.025,0.0325,0.0399,     ,      ,0.018,0.021,0.02,0.014,0.019,    ,    ,    ,0.364,0.652,0.698,    ,     ,    ,0.1,0,7,7,7,7,5.333333,6.6,6.2,7,2237,2430,2693,3033,3459,3985,0.0239,0.0422,0.0712,0.0975,0.0804,0.0458,0.0713,0.0994,0.1705,0.1528
4,493,530,881,1107,1477,1762,0.4385,0.4083,0.3814,0.3661,0.3562,0.3561,45.7,47.7,49.7,51.7,55.1,58.3,0.0378,0.0508,0.0546,0.0752,0.0665,     ,     ,     ,0.035,0.03,1.271,1.321,1.343,1.835,2.29,3.7,    ,0,0,0,0,2.333333,2,2,2,3.333333,3,3,2.8,481,549,623,755,902,1083,0.0805,0.0845,0.1545,0.2402,0.2765,0.1574,0.2216,0.2831,0.3432,0.3622
5,   ,287,305,329,358,377,     ,0.5257,0.5103,0.5057,0.4915,0.4775,36.3,38.3,40.4,42.4,44.4,46.4,     ,     ,0.0295,0.0276,0.0311,0.017,0.014,0.013,0.03,0.031,    ,    ,    ,    ,    ,    ,    ,0.1,0.1,0,0,5,4,6.2,6.6,4.333333,4,5.2,5.8,4452,4961,5550,6202,6957,7877,    ,0.0386,0.0438,0.0633,0.0583,    ,0.0786,0.1146,0.1864,0.1622
6,412,263,315,294,333,345,0.6025,0.6004,0.5974,0.5741,0.554,0.5369,41.8,43.7,44.7,45.4,46.3,47.9,0.0195,     ,     ,0.0296,0.0339,0.014,0.014,0.018,0.025,0.032,    ,    ,    ,    ,    ,    ,    ,0.1665,0.2286,0.1,1,7,7,6.6,6.8,7,6,6,6,2948,3224,3522,3680,4132,4731,0.0839,0.0588,0.0444,0.0617,0.0482,0.0966,0.0723,0.0595,0.0938,0.1208
7,507,556,703,756,875,1095,0.4884,0.4878,0.4767,0.4503,0.4159,0.3884,43.4,45.6,48.9,51.5,53,55.1,0.015,0.0242,0.0338,0.0307,0.0309,0.024,0.022,0.018,0.015,0.017,    ,    ,    ,1.246,1.758,2.23,0.1,0,0,0,0,6,6.2,6,6,4,5.2,6.2,6.2,5297,5874,6610,7520,8653,10051,    ,0.1259,0.1079,0.1413,0.1622,    ,0.1063,0.1158,0.169,0.1532
9,485,463,511,491,487,434,0.6037,0.5842,0.5642,0.5546,0.5249,0.4964,39.3,40.4,42.4,44.7,46.8,49.1,0.0231,0.0367,     ,0.0388,0.0541,0.009,0.019,0.024,0.021,0.022,    ,    ,0.337,0.51,0.812,1.261,0,0.2,0,0.2,0,7,7,7,6.4,7,6.8,5.4,6,1534,1677,1849,2057,2320,2646,0.076,0.0942,0.0839,0.1164,0.1127,0.1316,0.1509,0.1261,0.1745,0.1746
10,515,496,466,461,353,254,0.3927,0.3853,0.3781,0.3728,0.3652,0.3567,34.9,36.4,38.2,40.2,42.2,44.5,     ,0.0226,     ,     ,      ,0.007,0.03,0.05,0.032,     ,    ,    ,    ,    ,    ,    ,0,0.1,0.2,0.6476,1,6,6.8,6.6,6.6,7,6,6.4,6.8,3064,3334,3652,4030,4477,5018,0.0671,0.0699,0.0789,0.0891,0.0597,0.0949,0.1019,0.1101,0.1553,0.1103
12,563,841,992,859,981,1338,0.4611,0.4503,0.4354,0.4246,0.4044,0.3769,47.3,49.4,51.3,53.3,55.4,57.7,0.0317,0.0545,0.0551,0.0784,0.0538,0.025,0.039,0.046,0.049,0.024,    ,    ,    ,    ,2.279,3.143,0.1,0.394,0.283,0.237,0,5.666667,6.2,7,7,6.333333,6.2,6.2,6,988,1111,1263,1447,1669,1939,0.1583,0.1979,0.1963,0.2949,0.3736,0.4166,0.3273,0.2856,0.4212,0.3983
13,496,644,671,780,995,1188,0.2906,0.2824,0.2775,0.2805,0.2721,0.2698,46.4,48.8,51.1,54.2,57.1,59.6,0.0509,0.0476,0.0535,0.0462,0.052,0.062,0.097,0.251,0.235,0.117,    ,    ,    ,1.32,    ,    ,0,0.103405,0.102815,0.1,1,6,5.2,4.8,4.8,4.666667,4.4,5.2,4,25922,29389,33053,36289,40875,46511,0.1986,0.1427,0.098,0.1018,0.1074,0.2413,0.1714,0.1423,0.1696,0.159
14,285,320,341,329,325,310,0.5117,0.5068,0.4976,0.483,0.4667,0.4539,42.2,42.8,43.3,44.1,43.5,45.3,0.0109,0.0153,0.0239,0.0231,0.0355,0.022,0.026,0.021,0.062,0.086,    ,    ,    ,    ,    ,    ,0.1,0,0.30625,0.92845,1,5.666667,7,7,6.6,5.333333,6.6,7,7,24191,27150,30623,34309,38750,43083,0.0537,0.0575,0.0599,0.0551,0.046,0.0611,0.0695,0.0584,0.0712,0.0728
15,804,1286,2082,3099,2973,3103,0.9541,0.9341,0.9167,0.756,0.6298,0.5196,40.9,42.4,44.2,46.3,48.4,51.1,0.0276,0.0348,0.0303,0.0243,0.0316,0.01,0.013,0.013,0.017,0.024,    ,    ,    ,    ,    ,    ,0.1,0,0,0,0,6,6,6,6,6,6,6,6,486,495,504,637,806,985,0.2937,0.4522,0.4701,     ,0.5707,0.2533,0.3836,0.4104,     ,0.3882
16,433,510,566,560,556,526,0.5296,0.5191,0.5141,0.492,0.4559,0.4105,32.3,34.1,36.1,38.1,40.2,42.4,0.0278,0.0291,0.0276,0.0319,0.0372,     ,     ,0,0,0.002,    ,    ,    ,0.503,0.654,0.837,    ,0,0,0,0,2,2,2.8,2.8,2,2,3.4,3.2,352,404,464,548,641,745,0.4183,0.4477,0.288,0.3706,0.3019,0.371,0.3659,0.2908,0.4779,0.4388
17,534,527,568,495,421,349,0.4342,0.4097,0.3993,0.3935,0.4053,0.3934,45.2,47.5,49.4,50.6,51.6,53.2,0.0306,0.0476,0.0439,0.0418,0.0233,0.018,0.022,0.016,0.009,0.004,0.69,1.169,2.027,2.08,2.382,3.216,0.04025,0.2,0.1,0.1,0,6.666667,6,4.6,6.6,5.333333,4.6,4.4,5.8,6774,7828,8612,9831,10736,12839,0.135,0.12,0.1197,0.1547,0.1188,0.1664,0.1438,0.1196,0.1612,0.1375
